Kyle Alexander,23,2,0.5,-1,-1,6.5,1,1.5,0
Nickeil Alexander-Walker,21,47,0.368,0.346,0.676,12.6,5.7,1.8,1.9
RJ Barrett,19,56,0.402,0.32,0.614,30.4,14.3,5,2.6
Darius Bazley,19,61,0.394,0.348,0.694,18.5,5.6,4,0.7
Goga Bitadze,20,54,0.467,0.19,0.727,8.7,3.2,2,0.4
Bol Bol,20,7,0.5,0.444,0.8,12.4,5.7,2.7,0.9
Marques Bolden,21,1,-1,-1,-1,3,0,2,0
Jordan Bone,22,10,0.25,0.2,-1,5.3,1.2,0.4,0.8
Brian Bowen,21,6,0.3,0,-1,5.2,1,1.2,0
Ky Bowman,22,45,0.417,0.308,0.829,22.6,7.4,2.7,2.9
Jarrell Brantley,23,9,0.357,0.231,0.5,10.7,2.7,2.2,1.2
Ignas Brazdeikis,21,9,0.273,0.111,0.8,5.9,1.9,0.6,0.4
Oshae Brissett,21,19,0.361,0.2,0.8,7.1,1.9,1.4,0.4
Charlie Brown,22,10,0.316,0.333,1,4,2,0.4,0.2
Moses Brown,20,9,0.4,-1,0.375,3.7,1.2,1.6,0.1
Devontae Cacok,23,1,0.5,-1,-1,9,6,5,1
Vlatko Čančar,22,14,0.4,0.167,1,3.2,1.2,0.7,0.2
Zylan Cheatham,24,4,0.667,0,-1,12.8,3,2.3,0.8
Brandon Clarke,23,58,0.618,0.359,0.759,22.4,12.1,5.9,1.4
Nicolas Claxton,20,15,0.563,0.143,0.524,12.5,4.4,2.9,1.1
Chris Clemons,22,33,0.401,0.346,0.909,8.8,4.9,0.9,0.8
Amir Coffey,22,18,0.426,0.316,0.545,8.8,3.2,0.9,0.8
Tyler Cook,22,13,0.667,-1,0.875,4.2,1.8,1.1,0.1
Jarrett Culver,20,63,0.404,0.299,0.462,23.9,9.2,3.4,1.7
Terence Davis,22,72,0.456,0.388,0.864,16.8,7.5,3.3,1.6
Luguentz Dort,20,36,0.394,0.297,0.792,22.8,6.8,2.3,0.8
Sekou Doumbouya,19,38,0.39,0.286,0.674,19.8,6.4,3.1,0.5
Carsen Edwards,21,37,0.328,0.316,0.684,9.5,3.3,1.3,0.6
Tacko Fall,24,7,0.786,-1,0.333,4.7,3.3,2.1,0.1
Bruno Fernando,21,56,0.518,0.135,0.569,12.7,4.3,3.5,0.9
Michael Frazier,25,13,0.241,0.174,0.643,11.2,2.1,0.8,0.2
Wenyen Gabriel,22,30,0.438,0.3,0.682,7.8,2.1,1.7,0.3
Daniel Gafford,21,43,0.701,-1,0.533,14.2,5.1,2.5,0.5
Darius Garland,20,59,0.401,0.355,0.875,30.9,12.3,1.9,3.9
Javonte Green,26,48,0.5,0.273,0.667,9.8,3.4,1.9,0.5
Marko Guduric,24,44,0.395,0.301,0.923,11,3.9,1.7,1
Kyle Guy,22,3,0.4,0,-1,3.3,1.3,0.3,0.3
Rui Hachimura,21,48,0.466,0.287,0.829,30.1,13.5,6.1,1.8
Devon Hall,24,11,0.2,0.235,0.5,7.4,1.8,0.6,1.2
Donta Hall,22,9,0.682,-1,0.5,14.8,4.3,4.2,0.4
Jared Harper,22,3,0.25,0,-1,2.7,0.7,0,0
Jaxson Hayes,19,64,0.672,0.25,0.647,16.9,7.4,4,0.9
Dewan Hernandez,23,6,0.357,0.5,0.6,4.7,2.3,2.3,0.5
Tyler Herro,20,55,0.428,0.389,0.87,27.4,13.5,4.1,2.2
Kevin Hervey,23,10,0.259,0.15,-1,5.2,1.7,1.2,0.5
Jaylen Hoard,20,13,0.469,0,0.615,7.9,2.9,2.5,0.3
Talen Horton-Tucker,19,6,0.467,0.308,0.5,13.5,5.7,1.2,1
William Howard,26,2,0,0,-1,6.5,0,1,0.5
De'Andre Hunter,22,63,0.41,0.355,0.764,32,12.3,4.5,1.8
Justin James,23,36,0.417,0.31,0.476,6.4,2.5,0.9,0.5
DaQuan Jeffries,22,13,0.5,0.278,0.833,10.8,3.8,1.4,0.5
Ty Jerome,22,31,0.336,0.28,0.75,10.6,3.3,1.5,1.4
Cameron Johnson,23,57,0.435,0.39,0.807,22,8.8,3.3,1.2
Keldon Johnson,20,17,0.596,0.591,0.795,17.7,9.1,3.4,0.9
Mfiondu Kabengele,22,12,0.438,0.45,1,5.3,3.5,0.9,0.2
Stanton Kidd,27,4,0,0,-1,3.8,0,0.8,0.3
Louis King,20,10,0.381,0.364,0,6.2,2,1,0.5
John Konchar,23,19,0.649,0.5,0.5,9.5,2.8,2.5,1.2
Romeo Langford,20,32,0.35,0.185,0.72,11.6,2.5,1.3,0.4
Vic Law,24,8,0.333,0.143,0.333,7.8,1.9,1.4,0.4
Jalen Lecque,19,5,0.4,0,1,6.4,2,0.4,0.4
Nassir Little,19,48,0.43,0.237,0.636,11.9,3.6,2.3,0.5
Terance Mann,23,41,0.468,0.35,0.667,8.8,2.4,1.3,1.3
Caleb Martin,24,18,0.44,0.541,0.81,17.6,6.2,2.1,1.3
Cody Martin,24,48,0.43,0.234,0.646,18.8,5,3.3,2
Jeremiah Martin,23,9,0.453,0.278,0.786,11,7.1,1.1,2
Kelan Martin,24,31,0.392,0.26,0.968,16,6.4,3.1,0.7
Garrison Mathews,23,18,0.429,0.413,0.912,12.6,5.4,1.3,0.6
Jalen McDaniels,22,16,0.471,0.375,0.824,18.3,5.6,4.1,0.8
Jordan McLaughlin,23,30,0.489,0.382,0.667,19.7,7.6,1.6,4.2
Nicolò Melli,29,60,0.421,0.335,0.74,17.4,6.6,3,1.4
Eric Mika,25,1,0.667,-1,1,19,6,7,0
Adam Mokoka,21,11,0.429,0.4,0.5,10.2,2.9,0.9,0.4
Matt Mooney,22,4,0.25,0,-1,4.8,0.5,0.8,0.3
Ja Morant,20,67,0.477,0.335,0.776,31,17.8,3.9,7.3
Juwan Morgan,22,21,0.577,0.375,0.75,6.4,1.7,1.4,0.3
Mychal Mulder,25,7,0.388,0.308,0.75,29.1,11,3.3,1.1
Malik Newman,22,1,0,0,1,4,2,0,0
Zach Norvell,22,5,0.25,0.375,1,8.2,2,1.2,0.6
Jaylen Nowell,20,15,0.358,0.115,0.941,10.1,3.8,0.9,1.3
Kendrick Nunn,24,67,0.439,0.35,0.85,29.3,15.3,2.7,3.3
KZ Okpala,20,5,0.6,0,0.5,5.2,1.4,1,0.2
Miye Oni,22,10,0.375,0.368,0.8,10.9,3.5,1.7,0.4
Tariq Owens,24,3,0.2,0,1,5,1.3,1,0
Eric Paschall,23,60,0.497,0.287,0.774,27.6,14,4.6,2.1
Anžejs Pasečņiks,24,27,0.526,0,0.586,16.2,5.8,4,0.7
Norvel Pelle,26,24,0.521,0,0.5,9.7,2.4,3,0.3
Vincent Poirier,26,22,0.472,0.5,0.857,5.9,1.9,2,0.4
Shamorie Ponds,21,4,0.6,0.5,1,2.8,2.3,0.3,0.5
Jordan Poole,20,57,0.333,0.279,0.798,22.4,8.8,2.1,2.4
Kevin Porter,19,50,0.442,0.335,0.723,23.2,10,3.2,2.2
Michael Porter,21,55,0.509,0.422,0.833,16.4,9.3,4.7,0.8
Josh Reaves,22,4,0.333,0,1,7,2,0.8,0.8
Cam Reddish,20,58,0.384,0.332,0.802,26.7,10.5,3.7,1.5
Naz Reid,20,30,0.412,0.33,0.698,16.5,9,4.1,1.2
Justin Robinson,22,9,0.417,0.6,-1,5.4,1.4,0.6,0.8
Isaiah Roby,21,3,0,-1,-1,3.7,0,0.7,0
Luka Šamanić,20,3,0.313,0.375,0.75,16,5.3,3.3,2
Admiral Schofield,22,33,0.38,0.311,0.667,11.2,3,1.4,0.5
Marial Shayok,24,4,0.25,0.333,0.75,7,2.8,1.8,0.3
Chris Silva,23,44,0.615,0,0.673,7.9,3,2.9,0.5
Alen Smailagić,19,14,0.5,0.231,0.842,9.9,4.2,1.9,0.9
Max Strus,23,2,0.667,0,1,3,2.5,0.5,0
Matt Thomas,25,41,0.487,0.475,0.75,10.7,4.9,1.5,0.5
Matisse Thybulle,22,65,0.423,0.357,0.61,19.8,4.7,1.6,1.2
Juan Toscano-Anderson,26,13,0.46,0.348,0.6,20.9,5.3,4,2
Rayjon Tucker,22,20,0.465,0.176,0.826,8.1,3.1,1,0.3
Gabe Vincent,23,9,0.216,0.222,-1,9.2,2.4,0.6,0.7
Dean Wade,23,12,0.692,0.5,0,5.9,1.7,1.6,0.2
P.J. Washington,21,58,0.455,0.374,0.647,30.3,12.2,5.4,2.1
Tremont Waters,22,11,0.286,0.167,1,10.8,3.6,1.1,1.5
Paul Watson,25,10,0.385,0.333,0.778,8.7,3.1,1.7,0.8
Quinndary Weatherspoon,23,11,0.294,0.2,0.5,7.1,1.1,0.6,1
Coby White,19,65,0.394,0.354,0.791,25.8,13.2,3.5,2.7
Grant Williams,21,69,0.412,0.25,0.722,15.1,3.4,2.6,1
Nigel Williams-Goss,25,10,0.313,0.286,1,5,1.4,0.6,0.6
Zion Williamson,19,24,0.583,0.429,0.64,27.8,22.5,6.3,2.1
Justin Wright-Foreman,22,4,0.35,0.2,0.75,11.3,4.8,1.3,1.8
