Alexis AjinÃ§a,20,31,0.362,0,0.714,5.9,2.3,1,0.1
Joe Alexander,22,59,0.416,0.348,0.699,12.1,4.7,1.9,0.7
Ryan Anderson,20,66,0.393,0.365,0.845,19.9,7.4,4.7,0.8
Darrell Arthur,20,76,0.438,0,0.667,19.3,5.6,4.6,0.6
D.J. Augustin,21,72,0.43,0.439,0.893,26.5,11.8,1.8,3.5
Nicolas Batum,20,79,0.446,0.369,0.808,18.4,5.4,2.8,0.9
Jerryd Bayless,20,53,0.365,0.259,0.806,12.4,4.3,1.1,1.5
Michael Beasley,20,81,0.472,0.407,0.772,24.8,13.9,5.4,1
Bobby Brown,24,68,0.392,0.346,0.791,13.7,5.3,0.8,1.7
Mario Chalmers,22,82,0.42,0.367,0.767,32,10,2.8,4.9
Joe Crawford,22,2,0.3,0.25,1,11.5,4.5,2,0.5
Joey Dorsey,25,3,0.5,-1,-1,2,0.7,0.3,0.3
Chris Douglas-Roberts,22,44,0.46,0.25,0.823,13.3,4.9,1.1,1.2
Goran DragiÄ,22,55,0.393,0.37,0.769,13.2,4.5,1.9,2
Rudy FernÃ¡ndez,23,78,0.425,0.399,0.839,25.6,10.4,2.7,2
Danilo Gallinari,20,28,0.448,0.444,0.963,14.7,6.1,2,0.5
Marc Gasol,24,82,0.53,0,0.733,30.7,11.9,7.4,1.7
J.R. Giddens,23,6,0.667,-1,-1,1.3,0.7,0.5,0
Eric Gordon,20,78,0.456,0.389,0.854,34.3,16.1,2.6,2.8
DontÃ© Greene,20,55,0.326,0.26,0.853,13.2,3.8,1.6,0.5
Hamed Haddadi,23,19,0.484,-1,0.6,6.3,2.5,2.5,0.4
Malik Hairston,21,15,0.49,0,0.286,10.3,3.3,1.9,0.9
Roy Hibbert,22,70,0.471,-1,0.667,14.4,7.1,3.5,0.7
J.J. Hickson,20,62,0.515,-1,0.672,11.4,4,2.7,0.1
George Hill,22,77,0.403,0.329,0.781,16.5,5.7,2.1,1.8
Steven Hill,23,1,1,-1,-1,2,2,3,0
Othello Hunter,22,16,0.55,-1,0,5.8,1.4,1.5,0.1
Darnell Jackson,23,51,0.43,0,0.686,8.4,1.9,1.7,0.2
Nathan Jawai,22,6,0.25,-1,-1,3.2,0.3,0.3,0
Dontell Jefferson,25,6,0.5,0.5,0.667,14,4.8,2,1.5
Trey Johnson,24,4,0,-1,1,3.5,1,0.3,0
DeAndre Jordan,20,53,0.633,-1,0.385,14.5,4.3,4.5,0.2
Kosta Koufos,19,48,0.508,-1,0.706,11.8,4.7,2.9,0.4
Rob Kurz,23,40,0.389,0.395,0.8,11.1,3.9,2,0.5
Courtney Lee,23,77,0.45,0.404,0.83,25.2,8.4,2.3,1.2
Brook Lopez,20,82,0.531,0,0.793,30.5,13,8.1,1
Robin Lopez,20,60,0.518,0,0.691,10.2,3.2,2,0.1
Kevin Love,20,81,0.459,0.105,0.789,25.3,11.1,9.1,1
Cartier Martin,24,33,0.364,0.303,0.8,8.1,2.6,1,0.4
O.J. Mayo,21,82,0.438,0.384,0.879,38,18.5,3.8,3.2
Luc Mbah a Moute,22,82,0.462,0,0.729,25.8,7.2,5.9,1.1
JaVale McGee,21,75,0.494,-1,0.66,15.2,6.5,3.9,0.3
Anthony Morrow,23,67,0.478,0.467,0.87,22.6,10.1,3,1.2
DeMarcus Nelson,23,13,0.444,0,0.357,13.2,4.1,1.8,1
Greg Oden,21,61,0.564,-1,0.637,21.5,8.9,7,0.5
Anthony Randolph,19,63,0.462,0,0.716,17.9,7.9,5.8,0.8
Derrick Rose,20,81,0.475,0.222,0.788,37,16.8,3.9,6.3
Brandon Rush,23,75,0.423,0.373,0.697,24,8.1,3.1,0.9
Walter Sharpe,22,8,0.364,0,0,2.5,1,0.4,0
Sean Singletary,23,37,0.365,0.4,0.857,8.2,2.4,0.9,0.8
Marreese Speights,21,79,0.502,0.25,0.773,16,7.7,3.7,0.4
Mike Taylor,23,51,0.412,0.325,0.691,15.1,5.7,1.7,2.1
Jason Thompson,22,82,0.497,0,0.692,28.1,11.1,7.4,1.1
Anthony Tolliver,23,19,0.292,0.22,0.5,10.9,2.7,2.2,0.9
Roko UkiÄ,24,72,0.38,0.177,0.733,12.4,4.2,1,2.1
Henry Walker,21,29,0.621,0,0.696,7.4,3,1,0.4
Kyle Weaver,22,56,0.459,0.344,0.707,20.8,5.3,2.3,1.8
Sonny Weems,22,12,0.32,0,0.375,4.6,1.6,0.3,0.3
Russell Westbrook,20,82,0.398,0.271,0.815,32.5,15.3,4.9,5.3
D.J. White,22,7,0.52,-1,0.769,18.6,8.9,4.6,0.9
Jawad Williams,25,10,0.417,0.333,-1,2,1.2,0.2,0
Sun Yue,23,10,0.273,0,-1,2.8,0.6,0,0.2
